index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,average_price,center_price
8270,Makhana - Mint,"Foodgrains, Oil & Masala",Dry Fruits,Organic Origins,135.0,135.0,Other Dry Fruits,4.4,"Derived from Lotus Seeds and enjoyed in many parts of Asia, this auspicious offering to the goddesses (during festivals) has evolved from a super food to a super snack which is extremely healthy and light. These delicately roasted & flavored makhanas are prepared in Olive Oil and are brimming with nutrients and antioxidants. They contain quality ingredients used for healthy, guilt-free snacking and is the healthiest way to keep hunger pangs at bay! The makhanas contain no preservatives, added colouring, artificial flavouring, gluten or trans fat. They are low in calories, rich in calcium, fibre & protein, and have anti-inflammation & anti-aging properties, which are believed to be good for diabetes, arthritis and high blood pressure. We at Organic Origins believe in making the world a happier, healthier place and we strive to infuse love and care into all our products and hope it transcends to you.",135.0,-217.28573616403554
8437,Masala Cashew/Godambi - Red Chilli,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,298.0,400.0,Cashews,,"Packed with a healthy dose of components like minerals, vitamins, good fats and antioxidants that is required for the functioning of a healthy heart. The magnesium present in cashews also makes it excellent for lowering high blood pressure and relaxes nerves and muscles. It works to promote bone health and helps fight infection. Since every cashew in this pack is organically grown, it is free from any preservatives and packed in to give you and your family a healthy snack",349.0,-3.2857361640355407
8479,Mouth Freshener - Madrasi Sounff,"Foodgrains, Oil & Masala",Dry Fruits,Dizzle,102.0,102.0,Mukhwas,4.2,Madrasi sonff is a mouth freshener. Dizzle is a leading national brand for mouth fresheners. We bring best quality mouth fresheners for you in multiple variety  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/,102.0,-250.28573616403554
8609,Calcutta Mitha Pan,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,210.0,210.0,Mukhwas,4.2,"Calcutta Mitha Pan. A pack of 15 hygienically packed pan, which are free from betel nut, thus suit all age groups. The taste acts as a perfect mouth freshener. The delicious taste will surely crave you more. It is prepared using premium ingredients giving you the perfect luxurious taste. Chandan Mouth Freshener has been manufacturing mouth freshener since 1966 and is happy to share the rich taste of natural with no artificial ingredients.",210.0,-142.28573616403554
8766,Chilli Nut Chaat,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,180.0,180.0,Other Dry Fruits,3.0,"This diverse mix of nuts is a great way to get a wide range of protective nutrients. Mix Nut Chaat are loaded with heart-healthy nutrients, which may help lower harmful cholesterol levels. They are also rich in antioxidants which protect cells against the damaging effects of free radicals. High in protein, dietary fibre, and minerals, mixed nuts are a healthy and satisfying snack option. Our nuts are roasted right in-house so they arrive at your door as fresh as possible.",180.0,-172.28573616403554
8796,Mixed Nuts - Mediterranean Rosemary,"Foodgrains, Oil & Masala",Dry Fruits,Organic Origins,300.0,300.0,Other Dry Fruits,,"Our delicately flavoured and roasted nuts are made in small batches, to retain the taste and flavours. It is mad in our certified organic facility with extreme care on hygiene, using our own formulated recipe, with no added preservatives, under the care of our Star Chef Amit. Something interesting to know about the making process is that we play the chefs music of choice as we believe that really Good Food needs that extra touch beyond the pure ingredients and the perfect recipe! We hope you enjoy our products as much as we enjoyed making them!",300.0,-52.28573616403554
8880,Cocktail Candy,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,35.0,70.0,Mukhwas,,Cocktail Candy is an all flavour mixed of fruit and sugar boiled. This is a candy liked by all age groups. You can pop this up any time and anytime. Satisfy your sugar cravings on the go.,52.5,-299.78573616403554
8943,Dry Dates/Kharjura/Chuara,"Foodgrains, Oil & Masala",Dry Fruits,Soulfit,449.0,449.0,Other Dry Fruits,4.3,"Brown dates are loaded with compound carbohydrates and natural sugars like sucrose, glucose and fructose which makes it a great source of instant and long-lasting energy.",449.0,96.71426383596446
8975,Fardh Dates/Kharjura - Seedless,"Foodgrains, Oil & Masala",Dry Fruits,Falcon,310.0,310.0,Other Dry Fruits,3.2,"Selected Natural Fardh Seedless Dates with improved shelf life. This variety of date is soft, chewy and sweet making it an ideal snack for your little ones. Add them to your cakes or bake them into your bread. Dates are sure to turn your recipes into delectable delights. The benefits of dates are manifold relief from constipation and many other conditions.Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",310.0,-42.28573616403554
9467,Jamun Vati,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,120.0,120.0,Mukhwas,3.6,This unique taste is an ayurvedic miracle with digestive properties to keep your stomach happy. Yummy and ideal for consumption by kids and grown-ups alike. Chandan Mouth Freshener has been manufacturing mouth freshener since 1966 and is happy to share the rich taste of natural with no artificial ingredients.,120.0,-232.28573616403554
9663,Orange Bites Sweet Treats,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,39.0,70.0,Mukhwas,4.0,Orange Bites Sweet treats is an orange flavour sugar boiled candy. These small delight candies can be popped up at any time anywhere. Satisfy your sweet cravings with this candy.,54.5,-297.78573616403554
9725,Certified Organic - Flax Seeds,"Foodgrains, Oil & Masala",Dry Fruits,Nourish You,59.0,59.0,Other Dry Fruits,4.3,"Nourish You Flax Seeds an extremely versatile product which can be mixed with almost anything you eat. Also, Flax Seeds has a lot health benefits as it is a great source of omega 3, essential vitamins, lignans and minerals. Flax Seeds is a healthy option for all age groups.  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",59.0,-293.28573616403554
9757,Dilbhar Mix,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,114.75,135.0,Mukhwas,4.5,"Marudhar brings to you premium quality refreshing and flavoursome mouth fresheners. 100% Natural, Immunity Boosting & Rich in Anti Oxidants. Helps in Digestion & improves stomach health. Relish the delicious combination of sweet and mint in every bite that will refresh your mouth. Delicious & Tasty Mukhwas Mouth freshener, prepared using the most high-quality ingredients in hygienic condition to ensure better quality & authentic flavour.",124.875,-227.41073616403554
9830,Natives Sunflower Seeds/Suryakanti Bija,"Foodgrains, Oil & Masala",Dry Fruits,Himalayan Natives,239.2,299.0,Other Dry Fruits,4.4,"Himalayan Natives 100% Natural Sunflower Seeds are farmed and harvested with the highest quality control standards to ensure purity & consistent quality. Sunflower seeds can be used in trail mixes, multi-grain bread, and nutrition bars, as well as for snacking straight from the bag. They're rich in healthy fats, beneficial plant compounds, several vitamins and minerals. These nutrients are known to play a role in reducing risks of common health problems, including heart disease and type 2 diabetes.",269.1,-83.18573616403552
10072,Black Raisins/Ona Drakshi,"Foodgrains, Oil & Masala",Dry Fruits,Soulfit,449.0,449.0,Raisins,2.5,"Superior quality black raisins from Afghanistan. This seedless variety of raisin is soft, chewy and sweet making it an ideal snack for your little ones.",449.0,96.71426383596446
10172,Sweety Imli,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,150.0,150.0,Mukhwas,4.1,This wonderful combination of Luscious Tamarind Pulp along with Sugar will make you go into a different world altogether. A perfect blend of sweet and sour to tickle your taste buds shelf life 12 months.,150.0,-202.28573616403554
10291,Syrup - Dates,"Foodgrains, Oil & Masala",Dry Fruits,Lion,380.0,380.0,Other Dry Fruits,4.3,"Lion dates syrup is a delicious syrup made using natural ingredients that can be used in desserts and snacks to enhance its taste.
It is believed to assist in maintaining body health and curing numerous diseases, due to its exclusive high nutritional value.
It is a 100% pure energy tonic, which provides an abundance of energy to the body.",380.0,27.71426383596446
10679,Peru Vati,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,120.0,120.0,Mukhwas,2.9,This unique taste is an ayurvedic miracle with digestive properties to keep your stomach happy. Yummy and ideal for consumption by kids and grown-ups alike. Chandan Mouth Freshener has been manufacturing mouth freshener since 1966 and is happy to share the rich taste of natural with no artificial ingredients.,120.0,-232.28573616403554
10814,Almonds - Roasted & Salted,"Foodgrains, Oil & Masala",Dry Fruits,Delicious,330.0,330.0,Almonds,4.2,"California Almonds are bite-sized all-rounders when it comes to keeping you young & fit.
It's food for the brain, keeping your memory sharp. They are packed full of nutrients.
The wholesome constituents of these nuts provide the required amount of energy to the body and help maintain brain health.
Makes a healthy and tasty addition to both sweets and savouries.
Store in a cool, dry place in an airtight container and preferably refrigerate after opening

Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",330.0,-22.28573616403554
10841,Roasted Flax Seeds,"Foodgrains, Oil & Masala",Dry Fruits,Himalayan Natives,159.2,199.0,Cereals & Millets,4.0,"Flaxseeds are a great source of dietary fibre flaxseeds are loaded with two essential fatty acids, omega-3 and omega-6 flaxseeds are low in starch and sugar, hence they are not high on calories eating them regularly is good for your health.",179.1,-173.18573616403555
10939,Organic - Sunflower Seeds/Suryakanti Bija,"Foodgrains, Oil & Masala",Dry Fruits,Conscious Food,69.0,69.0,Other Dry Fruits,3.9,"Sunflower seeds are high in energy and contain many essential nutrients. Roasted sunflower seeds make for a crunchy healthy snack that can be relished between meals. They are an excellent source of vitamin E, magnesium and selenium. They are rich in mono-unsaturated fats and proteins and also contain phytosterols which help in lowering cholesterol in the body.",69.0,-283.28573616403554
11283,Gulkand - Premium With Dry Fruits,"Foodgrains, Oil & Masala",Dry Fruits,Future Organics,150.0,150.0,Mukhwas,3.7,"Gulkands coolness dispels tiredness, Stress, itches, Pains, burning sensations, acidity, ulcers, and digestive, intestinal dysfunctions and reduces leucorrhoea, heavy menstruation, inflammation of eyes, mouth ulcers, teeth and gum infections. it also addresses pimples, acnes, blemishes and improves sperm counts. Gulkand builds a strong heart, liver and the digestive system. Before going out in the sun during the summers, just two spoonful of Gulkand will protect you from sunstroke and nose bleeding. Gulkand is a mild laxative, empowering seven dhatus of the human body. Plasma, blood, muscles, fat, semen, bone and bone marrows  Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",150.0,-202.28573616403554
11289,Macadamia Nuts,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,499.0,500.0,Other Dry Fruits,,"Macadamia nuts are tree nuts that have a subtle, butter-like flavor and creamy texture. It is a rich source of vitamin a, iron, protein, thiamin, riboflavin, niacin, and folates. They also contain moderate amounts of zinc, copper, calcium, phosphorus, potassium, and magnesium. Macadamia contains antioxidants like polyphenols, amino acids, flavones, and selenium. Commonly known as macadamia nuts, the seeds are often roasted and salted or are used by bakers and chocolatiers in confections and chocolates.",499.5,147.21426383596446
11294,Pomo Shots Mix Digestive,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,150.0,150.0,Mukhwas,3.0,"Asli anardana goli - Yet another delicious product from the Finest collection of mukhwas, churans and candies, digestive tablets, fun to have at any time of the day. It is a digestive made with natural ingredients. These pomegranate flavoured tiny balls also serve as a perfect mouth freshener to stimulate digestion.",150.0,-202.28573616403554
11467,Watermelon Seeds/Kallangadi Bija,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,39.0,60.0,Other Dry Fruits,4.0,"Watermelon seeds are considered to be low in calories and are nutrient-dense with protein, essential fatty acids, vitamins and minerals and they work great for garnishing soups or when baked in bread.
Being a rich source of antioxidants, these seeds can keep you away from any stomach infection and boost your immunity.
Since it is a rich source of iron and magnesium, it helps in maintaining healthy skin.
Omega-3 present in these seeds might make your skin glow.
Watermelon seeds are a plentiful source of both soluble and insoluble fiber.
Soluble fiber helps lower LDL cholesterol levels and regulate blood sugar, while insoluble fiber supports a healthy digestive system.",49.5,-302.78573616403554
11510,Mint Mukhwas,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,50.0,50.0,Mukhwas,3.9,A most simple & basic confectionery accepted by all the age groups. Chandan Mouth Freshener has been manufacturing mouth freshener since 1966 and is happy to share the rich taste of natural with no artificial ingredients.,50.0,-302.28573616403554
11545,Barbeque Almonds,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,336.0,336.0,Almonds,,"Almonds are the everyday snack food of champions, and these barbeque-roasted almonds are the most amazing combination of salty, spicy, and just a bit of sweetness. Almonds have a lot of health benefits like shiny hair, glowing skin and good health on an overall basis. It should be consumed daily, for the best results.",336.0,-16.28573616403554
11602,Seeds - Sabja,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,58.0,80.0,Mukhwas,4.2,"Sabjas are a powerful superfood that is the richest nutrient source, energy booster and one of the best nutrient storehouses. It helps in weight reduction and is rich in protein, minerals and phytol nutrients that keep your body healthy. Nutriwish seeks to help you achieve a healthy and active life that you wish to lead, by delivering nutrition suited to your needs.",69.0,-283.28573616403554
11673,Navaratan Mix Mouth Freshener,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,161.5,190.0,Mukhwas,,"Marudhar brings to you premium quality refreshing and flavoursome mouth fresheners. 100% Natural, Immunity Boosting & Rich in Anti Oxidants. Helps in Digestion & improves stomach health. Relish the delicious combination of sweet and mint in every bite that will refresh your mouth. Delicious & Tasty Mukhwas Mouth freshener, prepared using the most high-quality ingredients in hygienic condition to ensure better quality & authentic flavour.",175.75,-176.53573616403554
11734,Mitha Pan,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,102.0,120.0,Mukhwas,4.5,"Mixture of Gulkand, dry dates, fennel seeds. Its a refreshing menthol flavour. Refreshing taste. A mixture of Gulkand, dry dates, fennel seeds. Its a refreshing menthol flavour. Refreshing taste. 100% Natural, Immunity Boosting & Rich in Anti Oxidants. Helps in Digestion & improves stomach health. Relish the delicious combination of sweet and mint in every bite that will refresh your mouth. Delicious & Tasty Mukhwas Mouth freshener, prepared using the most high-quality ingredients in hygienic condition to ensure better quality & authentic flavour.",111.0,-241.28573616403554
11739,Almond/Badam - Roasted & Salted,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,224.0,320.0,Almonds,,"These Almonds are roasted to perfection making them an instant hit with everyone.
The fine balance of low sodium salt and protein helps bring out the best flavour of the nuts, making these crunchy delights a perfect addition to meals desserts or snacks.
Almonds contain lots of healthy fats, fiber, protein, magnesium and vitamin E.
Roasted & Salted Almonds create up a key part of a strong and various diet.
Store in a cool, dry place in an airtight container and preferably refrigerate after opening",272.0,-80.28573616403554
11793,Dates/Kharjura,"Foodgrains, Oil & Masala",Dry Fruits,Lion,160.0,160.0,Other Dry Fruits,3.8,"Health benefits of dates are uncountable, as this fruit is affluent in natural fibres.
These natural products also contain oil, calcium, sulphur, iron, potassium, phosphorous, manganese, copper and magnesium which are advantageous for health.
Dates are even rich in several vitamins and minerals.
It is said that one date is a minimum requirement of a balanced and healthy diet.
It helps in fighting constipation, intestinal disorders, weight gain, heart problems.
The Health benefits of dates have made them the best nourishment for muscles development.
People consume dates in several ways, like mixing the paste of the dates with milk, yoghurt or with bread or butter to make the food tasty and healthy.
This paste is beneficial for both adults and children, especially during the time of recovery.
According to the modern medicine survey, it is known that dates are useful in preventing abdominal cancer.
It is also seen that many Muslims break their fast by eating dates and water according to their traditions.
Breaking fast with eating dates helps us to avoid overeating the food after the fast.
When the body absorbs the nutritional value of the dates, the feeling of hunger gets pacified.
Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",160.0,-192.28573616403554
11799,Special Masala,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,60.0,60.0,Mukhwas,4.0,"The taste acts as a perfect mouth freshener. The delicious taste will surely crave you more. It is prepared using premium ingredients giving you the perfect luxurious taste. Relish the combination of different flavours. 
Chandan Mouth Freshener has been manufacturing mouth freshener since 1966 and is happy to share the rich taste of natural with no artificial ingredients.",60.0,-292.28573616403554
11963,Signature Roasted & Salted Cashew/Godambi - W240,"Foodgrains, Oil & Masala",Dry Fruits,Nutraj,449.0,449.0,Cashews,3.6,"Those who love the goodness of dry fruits cannot resist this pack of Signature roasted and salted Premium cashew nuts from Nutraj. These cashew nuts are a healthy snacking option for a healthy living. This packet has been vacuum packed to retain freshness and crispiness of the nuts. These delicious and mouth-watering nuts are absolutely wholesome, nutritious and appetizing for the stomach. Hygienically packed, this packet demands to be in your snack basket.Nutraj is a pioneer name in the trade of healthy bites and offers the finest variety of nuts and dried fruits from around the world. Process, hygiene and quality are the major parameters which are laid major emphasis on under this label.",449.0,96.71426383596446
12207,Coconut Flakes,"Foodgrains, Oil & Masala",Dry Fruits,Harin,150.0,150.0,Other Dry Fruits,4.0,"These Unsweetened Coconut Flakes are lovely when used to decorate cakes and pies. Use them in granola, trail mixes, or just to munch on. They are unsweetened and sulfur free.",150.0,-202.28573616403554
12297,Brazilian Nuts,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,321.0,500.0,Other Dry Fruits,,"Brazil nut is a seed originating from South American rain forests. Brazil nuts have a smooth buttery texture and a delicious nutty taste. These nuts are energy dense, highly nutritious, and one of the most concentrated dietary sources of the mineral selenium. Very rich source of omega-6 fatty acids.",410.5,58.21426383596446
12560,Royal Rajwadi Mukhwas,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,140.25,165.0,Mukhwas,2.0,"We are a trusted and leading manufacturer of mouth fresheners (mukhwas) sweet supari, candy all these products are packed in customized, air-tight and tamper-proof material using advanced technology machines under hygienically maintained condition. Our company products are known for their unique taste, health properties and hygienic production and we also believe in maintaining a healthy relationship with our clients.",152.625,-199.66073616403554
12567,Peri-Peri Almonds,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,336.0,336.0,Almonds,,"Who knew the humble almond could be made the hottest party snack of the decade? Well, we had a vision and we did it! We have combined the tastiest zingy Peri Peri flavour and some top quality Californian to bring you a spice fest like none before. Several customers even tell us that they love the hot flavour even though they generally do not like Spicy food. Need we say more?",336.0,-16.28573616403554
12688,Shimla Mix,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,119.0,140.0,Mukhwas,,"Marudhar Shimla mix brings to you flavoursome mouth fresheners. It is very tasty and helps digestion. Shimla Mix is a sauf mixture that contains coconut flavour. It is consumed after meals. It is flavourful and aromatic. It can be consumed by people of all age. 100% Natural, Immunity Boosting & Rich in Anti Oxidants. Helps in Digestion & improves stomach health. Relish the delicious combination of sweet and mint in every bite that will refresh your mouth. Delicious & Tasty Mukhwas Mouth freshener, prepared using the most high-quality ingredients in hygienic condition to ensure better quality & authentic flavour.",129.5,-222.78573616403554
13165,Flax Seeds,"Foodgrains, Oil & Masala",Dry Fruits,Grocery Farm,38.0,40.0,Other Dry Fruits,4.2,"Flax seeds are the richest source of plant-based omega-3 fatty acids. They have good fats, which helps in healthy heart functions. They are a rich source of micronutrients and stands top in seeds.",39.0,-313.28573616403554
13225,Kashmiri Mukhwas,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,120.0,120.0,Mukhwas,4.3,"The taste acts as a perfect mouth freshener. The delicious taste will surely crave you more. It is prepared using premium ingredients giving you the perfect luxurious taste. Relish the combination of different flavours. 
Chandan Mouth Freshener has been manufacturing mouth freshener since 1966 and is happy to share the rich taste of natural with no artificial ingredients.",120.0,-232.28573616403554
13314,Royal Kashmiri Mix,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,140.25,165.0,Mukhwas,5.0,"Marudhar Royal Kashmiri Mix delicately blended with roasted almonds, saffron strands, rose petals and Indian spices, the Kashmiri Kahwa is a sensory delight. Smell it, swirl it, sip it. 100% Natural, Immunity Boosting & Rich in Anti Oxidants. Helps in Digestion & improves stomach health. Relish the delicious combination of sweet and mint in every bite that will refresh your mouth. Delicious & Tasty Mukhwas Mouth freshener, prepared using the most high-quality ingredients in hygienic condition to ensure better quality & authentic flavour.",152.625,-199.66073616403554
13358,Dried Blueberries,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,392.0,392.0,Other Dry Fruits,,"You know you love those Blueberry Cheesecakes and Muffins, but we know you may have never had the blueberries themselves! Fret no more, we got just that for you! A paradise for sweet lovers, the grainy quotient of these dried blueberries give you special magic in every bite. So tasty, you might even forget how healthy you're getting with every chew! Stock up now, don't wait. It might get berry late... :p",392.0,39.71426383596446
13699,Walnut/Akrodu - Inshell,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,320.0,625.0,Other Dry Fruits,,"Walnut Kernels not only add crunch and taste to a dish but they are loaded with nutritional benefits too.
Walnut not only tastes great but is a rich source of heart-healthy, fats and an excellent source of those hard-to-find omega 3 fatty acids.
Walnuts are vacuum packaged to retain freshness, taste and texture ensuring quality.
All products are hygienically packed in a facility meeting food safety standards product details diet balance- adding walnuts to your diet may help you to maintain your ideal weight over time.
Researchers showed that consuming walnuts on regular basis may help you to reduce stress and age growth as it is found to consist of vitamin-e and anti-oxidants multivitamins- walnuts contain several neuroprotective compounds, including vitamin e, vitamin b, folate, melatonin, omega-3 fats, and antioxidants health benefits-walnuts are primarily made up of polyunsaturated fat.",472.5,120.21426383596446
13934,Nutflix Trail Mix - Powerhouse Of Energy,"Foodgrains, Oil & Masala",Dry Fruits,Soulfit,299.0,299.0,Other Dry Fruits,4.1,"Originated more than a century ago, trail mix served as a quick energy booster for hikers and sportspersons. The modern-day toil is no less than an everyday hiking adventure, hence we bring to you the right mix of nuts & seeds to not just give you instant energy but also to meet your daily nutritional needs. It's also a perfect pre-workout and post-workout snack as it has the right mix of carbohydrates and protein and gives you instant energy. Recommended daily intake - 28 g.
This pack contains - Almonds, Walnuts, Cashew, Dry figs, Dry dates, Black Raisin, Cranberry, Sunflower seeds & Melon seeds. No added sugar, salt or flavours. Rich in antioxidants, protein, Omega 3, Omega 6, Vitamin A, B6, B12, calcium, manganese, iron, healthy fats, carbs & much more.",299.0,-53.28573616403554
14026,Fresh Mint,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,130.0,130.0,Mukhwas,4.5,"Fresh mint is a classic product made of delicious tender coconut balls with touch of mild mint stuffed with cool rose petal paste. Its absolutely natural ingredients, delight the taste buds. This exclusive product will surely make you feel a class apart.",130.0,-222.28573616403554
14354,Black Raisins/Ona Drakshi - Seedless,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,110.0,120.0,Raisins,4.0,"It's safe to say that raisins are irreplaceable as a healthy member of the dry fruits category. These golden, green or black delicacies are favourites of almost everyone, particularly children. Raisins are widely used in cultural cooking around the world (especially in desserts) and are also added to health tonics, snacks and compact, high-energy food supplements for mountaineers, backpackers, and campers. By including raisins in your diet helps you increase the level of antioxidants in your system. Raisin varieties depend on the type of grape used and are made in a variety of sizes and colours including green, black, blue, purple and yellow. Value provides you with green raisin with lots of benefits.",115.0,-237.28573616403554
14660,"Dates/Kharjura - Ek, Seeded","Foodgrains, Oil & Masala",Dry Fruits,Falcon,230.0,230.0,Other Dry Fruits,4.0,"Falcon EK Seeded Dates are a rich source of Calcium and vitamin A. They make a healthy snacking option and can be had on a daily basis to reap its benefits and to stay fit. These premium dates are packed in an attractive package, keeping in mind all the hygienic precautions while packing. Each date is handpicked and packed carefully, making them absolutely safe for you and your family. So if you have been looking for great quality dry fruit, then look no further and get this pack for your family. It will definitely be worth the buy.",230.0,-122.28573616403554
14960,"Dates/Kharjura - Safawi, Seeded","Foodgrains, Oil & Masala",Dry Fruits,Falcon,475.0,475.0,Other Dry Fruits,4.0,"If you love the taste of real dates then go for this Falcon Safawi Dates and enjoy your snacks time. These premium dates come in an attractive pack, keeping in mind all the hygienic precautions while packing. These dates are a rich source of Iron & Vitamin C. Have them on a daily basis to reap the fruits of good health and stay fit. Each of them is handpicked and packed carefully and is absolutely safe for you and your family. So if you have been looking for great quality dry fruit, then look no further and get this pack for your family. It will definitely be worth the buy.",475.0,122.71426383596446
15287,Kudineer Churnam - Kapha Vata Jwara,"Foodgrains, Oil & Masala",Dry Fruits,Samvuddhi & Co,260.0,260.0,Mukhwas,5.0,"Herbal Kashaya Churnam is a Siddha practitioner and ayurvedic doctors to treat respiratory disorders like cold and flu. It gives a healing touch to those suffering from cold, cough and flu. It is a natural medicine and contains no chemicals. Believers of traditional Indian medicine will love this and can be regularly used to treat winter cough and cold. The herbal formula ensures there are no side effects. It is antipyretic, anti-inflammatory and helps fight asthma, cough and cold. It is a combination of several ingredients. It is both therapeutic and curative.",260.0,-92.28573616403554
15374,Lush Green Mouth Freshener,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,150.0,150.0,Mukhwas,4.3,"A popular variant of Iindian beverage green mukhwas, prepared by mint saunf etc. The ingredients add a freshness to the fennel,100% hand made, lightly sweet-salted & crispy flavour & natural, authentic Indian taste. This mouth freshener is an organic and natural product. It invigorates the digestive system in the most chemical-free way.",150.0,-202.28573616403554
15380,American Dried Whole Cranberries,"Foodgrains, Oil & Masala",Dry Fruits,Nutraj,224.0,299.0,Other Dry Fruits,2.0,"Dried cranberries are a modest source of dietary fibre. Every 40 grams of serving has 12.8 mg of Omega-3 fatty acids and 250 mg of Omega-6 fatty acids. Cranberries offer plenty of nutritional value. It has ample of antioxidant benefits like Vitamin C, Vitamin K, carbohydrates, proteins, Choline and Niacin.",261.5,-90.78573616403554
15661,Burnt Garlic Cashew/Godambi,"Foodgrains, Oil & Masala",Dry Fruits,FabBox,206.0,206.0,Cashews,,"A perfect combination of our Goa AAA Cashews, roasted with Garlic and a blend of flavours mixed just right to create this delicious, savoury snack.",206.0,-146.28573616403554
16087,Jet Chura,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,165.75,195.0,Mukhwas,,"Dry Dates coated with sugar and silver with added rose flavour. They are rich in dietary fibre. It provides instant Energy. It is highly nutritious. 100% Natural, Immunity Boosting & Rich in Anti Oxidants. Helps in Digestion & improves stomach health. Relish the delicious combination of sweet and mint in every bite that will refresh your mouth. Delicious & Tasty Mukhwas Mouth freshener, prepared using the most high-quality ingredients in hygienic condition to ensure better quality and authentic flavour.",180.375,-171.91073616403554
16219,Madrasi Sonff - Mouth Freshener,"Foodgrains, Oil & Masala",Dry Fruits,Marudhar,110.5,130.0,Mukhwas,4.0,"Silver leaves stimulates natural immunity. Silver leaves assists and speeds up healing. Silver leaves promote healthy bones and joints. Silver leaves fights allergies and ill effects of pollution.
Health benefits of menthol: Menthol help to get relief from irritable bowel syndrome. Menthol also relaxes the intestinal muscles. Menthol has pain-relieving and anti-inflammatory properties. Menthol helps to fight nausea, heartburn, and stomach cramps. Fennel seeds are coated with sugar.",120.25,-232.03573616403554
16398,Jeera Goli,"Foodgrains, Oil & Masala",Dry Fruits,Chandan,50.0,50.0,Mukhwas,3.7,The unique taste is an ayurvedic miracle with digestive properties to keep your stomach happy. Yummy and ideal for consumption by kids and grown-ups alike. Chandan Mouth Freshener has been manufacturing mouth freshener since 1966 and is happy to share the rich taste of natural with no artificial ingredients.,50.0,-302.28573616403554
16568,Anjeer/Figs/Atti Hannu,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,286.7,500.0,Other Dry Fruits,,"Figs are bell-shaped fruits with wrinkled and tough skin.
They are one of the sweetest fruits and also have a very sugary scent.
They are rich in antioxidants, phytonutrients and vitamins.
Dried figs, indeed, are an extremely concentrated supply of minerals and vitamins.
Dried figs are mainly consumed raw and are used as sweeteners in desserts and baked goods.",393.35,41.06426383596448
16735,Chironji,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,196.0,200.0,Other Dry Fruits,4.0,"Chirongi nuts are a little, round musky-flavored nut.
These seeds are widely used in Indian sweets and savory dishes.
They are the essential parts of a fruit whose shell dries to bustle rigidity.
The fruit is fractured open and the nuts are taken out.
They are slightly flat and round in shape and are the size of lentils.
They are soft, taste like almonds and have a soft texture rather like pine nuts.",198.0,-154.28573616403554
16930,Dates/Kharjura - Omani,"Foodgrains, Oil & Masala",Dry Fruits,bb Royal,222.0,300.0,Other Dry Fruits,4.2,"These premium dates come in an attractive pack, keeping in mind all the hygienic precautions while packing.
These dates are a rich source of Iron and Vitamin C.
Have them on a daily basis to reap the fruits of good health and stay fit.
Dates have amazing medicinal properties. They are rich in antioxidants.
They maintain good overall body health and give vitality to all age groups of both sexes.
Dates are free from cholesterol and have a low level of fats (0.2%) and sodium.
Include dates in your diet to stay healthy and fit.",261.0,-91.28573616403554
